outcome_type;sex;Spay/Neuter;outcome_age_(days);Cat/Kitten (outcome);cfa_breed;coat_pattern;color1;color2;breed1;breed2
Euthanasia;Male;Yes;5475;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;730;Cat;False;;white;black;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;;black;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;True;point;flame;;siamese;
Adoption;Female;Yes;60;Kitten;True;point;seal;;siamese;
Adoption;Male;Yes;2190;Cat;False;;black;white;domestic shorthair;
Transfer;Male;Yes;180;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;730;Cat;False;torbie;Breed Specific;white;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Return to Owner;Male;Yes;1825;Cat;False;tabby;brown;;domestic shorthair;
Died;Female;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;white;domestic mediumhair;
Transfer;Female;No;90;Kitten;False;calico;Breed Specific;white;domestic shorthair;
Return to Owner;Female;Yes;4745;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;365;Cat;False;tabby;brown;;domestic shorthair;
Euthanasia;Male;No;2920;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;180;Cat;False;tabby;brown ;white;domestic shorthair;
Return to Owner;Male;Yes;730;Cat;False;;blue;white;domestic mediumhair;
Transfer;Female;Yes;730;Cat;False;;black;white;domestic longhair;
Transfer;Male;No;28;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;3;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;6;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;black ;white;domestic shorthair;
Transfer;Male;No;120;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;No;60;Kitten;False;tortie;Breed Specific;;domestic mediumhair;
Transfer;Female;Yes;730;Cat;False;point;lynx;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;;white;black;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;brown ;white;domestic mediumhair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;tabby;cream;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;90;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;blue;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;180;Cat;False;tabby;gray ;white;domestic shorthair;
Adoption;Male;Yes;180;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;270;Cat;False;tabby;brown;;domestic mediumhair;
Adoption;Male;Yes;1095;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;180;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;90;Kitten;True;point;lynx;;siamese;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;;blue;;domestic shorthair;
Transfer;Female;Yes;60;Kitten;False;;blue;white;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;;black;white;domestic shorthair;
Transfer;Male;Yes;2920;Cat;False;;black;;domestic shorthair;
Euthanasia;Female;No;30;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;2920;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;30;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;No;60;Kitten;False;;blue;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;;black;;domestic shorthair;
Adoption;Male;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Return to Owner;Male;Yes;730;Cat;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;No;2920;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;True;tortie;Breed Specific;black;american shorthair;
Transfer;Male;No;60;Kitten;False;tabby;brown;;domestic longhair;
Euthanasia;Male;No;2920;Cat;False;;buff;;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic mediumhair;
Transfer;Male;Yes;365;Cat;False;;blue;;domestic shorthair;
Euthanasia;Male;No;120;Kitten;True;point;seal;;siamese;
Adoption;Female;No;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;21;Kitten;True;point;flame;;siamese;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic mediumhair;
Adoption;Female;No;60;Kitten;False;tabby;blue;;domestic mediumhair;
Adoption;Female;Yes;90;Kitten;False;tabby;cream;;domestic mediumhair;
Transfer;Female;Yes;365;Cat;False;;white;black;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;blue;white;domestic shorthair;
Euthanasia;Female;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;240;Cat;False;;black;;domestic shorthair;
Transfer;Female;No;730;Cat;False;tabby;silver;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;730;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;150;Kitten;False;tabby;cream;;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;blue ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;white;brown;domestic shorthair;
Transfer;Female;No;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;3;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;7;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Died;Female;Yes;150;Kitten;False;tabby;gray;;domestic shorthair;
Adoption;Male;Yes;180;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;;black;;domestic shorthair;
Euthanasia;Male;No;30;Kitten;False;tabby;cream;;domestic shorthair;
Transfer;Female;Yes;5;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Male;Yes;1095;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;tabby;black ;white;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;240;Cat;False;tabby;blue ;white;domestic shorthair;
Adoption;Male;Yes;3650;Cat;False;tabby;brown;;domestic shorthair;
Return to Owner;Male;Yes;730;Cat;True;tabby;brown;;maine coon;
Adoption;Female;Yes;120;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;Yes;5475;Cat;False;;blue;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Euthanasia;Female;Yes;1825;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;300;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;smoke;black ;white;domestic shorthair;
Transfer;Male;No;365;Cat;False;;black;white;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;210;Cat;False;tabby;white;brown;domestic shorthair;
Return to Owner;Female;Yes;365;Cat;True;tortie;Breed Specific;black;american shorthair;
Transfer;Female;Yes;2;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;Yes;120;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;tabby;gray;;domestic shorthair;
Adoption;Female;Yes;150;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;white;blue;domestic mediumhair;
Adoption;Female;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Return to Owner;Female;Yes;2920;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;No;7;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;No;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;white;orange;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;;blue;white;domestic mediumhair;
Adoption;Male;Yes;60;Kitten;False;tabby;cream;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;180;Cat;False;tabby;orange ;white;domestic longhair;
Transfer;Female;No;365;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;tabby;orange;;domestic shorthair;
Died;Female;Yes;30;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;120;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;white;blue;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;1095;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;300;Cat;False;;black;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;;black;;domestic shorthair;
Died;Female;Yes;3650;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;5;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;365;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;Yes;2555;Cat;False;;blue;;domestic shorthair;
Transfer;Female;No;28;Kitten;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;smoke;black;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;2555;Cat;True;tabby;brown ;white;american curl shorthair;
Transfer;Female;Yes;1460;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;300;Cat;False;;black;;domestic shorthair;
Transfer;Female;No;1095;Cat;False;;cream;;domestic shorthair;
Euthanasia;Female;No;30;Kitten;True;point;blue;;siamese;
Transfer;Male;Yes;1095;Cat;True;point;blue;;siamese;
Transfer;Male;Yes;1095;Cat;False;tabby;blue ;white;domestic mediumhair;
Adoption;Male;Yes;4015;Cat;False;point;seal ;white;snowshoe;
Adoption;Female;Yes;1825;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;365;Cat;False;;black;;domestic shorthair;
Adoption;Female;No;60;Kitten;False;;white;;domestic shorthair;
Transfer;Female;No;1095;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Return to Owner;Female;Yes;1460;Cat;False;tabby;brown ;white;domestic mediumhair;
Adoption;Male;Yes;30;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;28;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tortie;Breed Specific;;domestic shorthair;
Return to Owner;Male;Yes;730;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;3;Kitten;True;tortie;Breed Specific;white;american shorthair;
Transfer;Male;Yes;120;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;No;120;Kitten;False;tabby;brown ;white;domestic mediumhair;
Adoption;Male;Yes;2190;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;730;Cat;False;tortie;Breed Specific;;domestic shorthair;
Return to Owner;Male;Yes;1825;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;point;flame;;domestic mediumhair;
Adoption;Male;Yes;90;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;True;;white;blue;american shorthair;
Transfer;Female;No;1095;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;blue;;domestic shorthair;
Euthanasia;Female;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;cream ;white;domestic shorthair;
Return to Owner;Female;No;120;Kitten;False;;black;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;;black;white;domestic shorthair;
Transfer;Female;No;28;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;1825;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;90;Kitten;True;;white;black;american shorthair;
Transfer;Male;Yes;730;Cat;False;tabby;blue ;white;domestic shorthair;
Return to Owner;Female;Yes;5110;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;2920;Cat;False;;blue;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;True;tabby;brown;;maine coon;
Transfer;Female;No;28;Kitten;False;calico;Breed Specific;;domestic shorthair;
Return to Owner;Male;Yes;1825;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic longhair;
Adoption;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;2;Kitten;False;;white;;domestic shorthair;
Adoption;Male;Yes;730;Cat;False;tabby;cream;;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;No;90;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;True;tabby;brown;;american shorthair;
Return to Owner;Female;No;3650;Cat;True;point;seal ;brown;siamese;
Transfer;Male;Yes;730;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;1;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;;blue;white;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;4015;Cat;True;point;seal;;siamese;
Adoption;Male;No;60;Kitten;False;;blue;;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;2190;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;black;;domestic mediumhair;
Adoption;Female;No;60;Kitten;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;7;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;calico;Breed Specific;;himalayan;
Adoption;Male;Yes;210;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Return to Owner;Male;Yes;5840;Cat;False;;white;black;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;orange;;domestic mediumhair;
Transfer;Female;No;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;;cream;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;;black;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tabby;blue ;white;domestic shorthair;
Transfer;Female;No;365;Cat;True;tabby;gray ;black;american shorthair;
Adoption;Female;Yes;210;Cat;False;;blue;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic shorthair;
Transfer;Male;Yes;120;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;730;Cat;False;tabby;black;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;240;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;True;point;lynx;;siamese;
Return to Owner;Male;Yes;2190;Cat;False;;blue;white;domestic shorthair;
Transfer;Female;Yes;90;Kitten;False;;white;black;domestic shorthair;
Euthanasia;Female;Yes;730;Cat;False;;orange;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;;black;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;tortie;Breed Specific;white;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;blue;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;Yes;1460;Cat;False;calico;Breed Specific;;domestic shorthair;
